market,selection,bucket_type,bucket,sample_count,hit_rate,avg_odds,roi,max_losing_streak,max_drawdown,league_distribution,season_distribution,positive_roi_bucket,phase5_reject_reason,stability_status,stability_reject_reasons,watchlist_reasons,research_only,recommendation_generated,official_written,pending_written,qq_written
1X2,draw,closing_fair_probability,MISSING,1,1,3.75,2.75,0,0,"{""N1"": 1}","{""2022/23"": 1}",YES,SMALL_SAMPLE|CONCENTRATION_RISK,REJECT_CONCENTRATION|REJECT_SMALL_SAMPLE,REJECT_CONCENTRATION|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.0-0.1,639,0.034429,14.533646,-0.534429,79,-0.562598,"{""B1"": 56, ""N1"": 193, ""P1"": 180, ""SC0"": 146, ""T1"": 64}","{""2020/21"": 99, ""2021/22"": 120, ""2022/23"": 133, ""2023/24"": 157, ""2024/25"": 130}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.1-0.2,1297,0.145721,6.252159,-0.129915,37,-0.17714,"{""B1"": 319, ""N1"": 300, ""P1"": 197, ""SC0"": 151, ""T1"": 330}","{""2020/21"": 276, ""2021/22"": 284, ""2022/23"": 220, ""2023/24"": 235, ""2024/25"": 282}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.2-0.3,2009,0.22449,3.75341,-0.169597,32,-0.178104,"{""B1"": 378, ""N1"": 316, ""P1"": 422, ""SC0"": 297, ""T1"": 596}","{""2020/21"": 399, ""2021/22"": 406, ""2022/23"": 414, ""2023/24"": 414, ""2024/25"": 376}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.3-0.4,1617,0.337662,2.735634,-0.088262,14,-0.092127,"{""B1"": 318, ""N1"": 258, ""P1"": 353, ""SC0"": 243, ""T1"": 445}","{""2020/21"": 315, ""2021/22"": 333, ""2022/23"": 318, ""2023/24"": 328, ""2024/25"": 323}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.4-0.5,850,0.46,2.112647,-0.031965,11,-0.062847,"{""B1"": 250, ""N1"": 166, ""P1"": 112, ""SC0"": 106, ""T1"": 216}","{""2020/21"": 214, ""2021/22"": 161, ""2022/23"": 157, ""2023/24"": 157, ""2024/25"": 161}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.5-0.6,485,0.591753,1.71233,0.007175,6,-0.057711,"{""B1"": 145, ""N1"": 115, ""P1"": 68, ""SC0"": 41, ""T1"": 116}","{""2020/21"": 121, ""2021/22"": 100, ""2022/23"": 84, ""2023/24"": 87, ""2024/25"": 93}",YES,SMALL_SAMPLE,REJECT_SMALL_SAMPLE,REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.6-0.7,384,0.705729,1.448724,0.01987,6,-0.039089,"{""B1"": 63, ""N1"": 98, ""P1"": 115, ""SC0"": 58, ""T1"": 50}","{""2020/21"": 84, ""2021/22"": 68, ""2022/23"": 73, ""2023/24"": 85, ""2024/25"": 74}",YES,SMALL_SAMPLE,REJECT_SMALL_SAMPLE,REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.7-0.8,249,0.799197,1.266827,0.011325,3,-0.029759,"{""B1"": 13, ""N1"": 61, ""P1"": 77, ""SC0"": 81, ""T1"": 17}","{""2020/21"": 46, ""2021/22"": 44, ""2022/23"": 52, ""2023/24"": 61, ""2024/25"": 46}",YES,SMALL_SAMPLE,REJECT_SMALL_SAMPLE,REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,away,closing_fair_probability,0.8-0.9,46,0.847826,1.139783,-0.033696,3,-0.065217,"{""N1"": 22, ""P1"": 6, ""SC0"": 17, ""T1"": 1}","{""2020/21"": 12, ""2021/22"": 10, ""2022/23"": 7, ""2023/24"": 8, ""2024/25"": 9}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
